registry,ntiling,d,total_energy,total_energy_err,autocorrelation,acc,walltime,timestep,nblocks,energy,energy_err,stack
0.16667,3,3.2,-5937.104427,0.025038,1.8,0.990633,6148.604985,0.02,16.0,-659.6782696666667,0.002782,SP
0.16667,3,3.5,-5937.333246,0.012772,1.4,0.990661,20662.503036,0.02,366.0,-659.703694,0.0014191111111111,SP
0.16667,3,4.0,-5937.276798,0.032101,2.1,0.990647,6124.332194,0.02,15.0,-659.697422,0.0035667777777777,SP
0.16667,3,4.5,-5937.236883,0.029097,1.3,0.99066,6138.14513,0.02,15.0,-659.6929869999999,0.003233,SP
0.16667,3,5.5,-5937.175863,0.016538,1.0,0.99065,6108.994751,0.02,15.0,-659.6862070000001,0.0018375555555555,SP
0.16667,3,6.5,-5937.156113,0.025367,2.2,0.990641,6096.161673,0.02,15.0,-659.6840125555556,0.0028185555555555,SP
0.16667,4,3.0,-10551.848514,0.031509,1.0,0.99052,4943.230251,0.02,30.0,-659.490532125,0.0019693125,SP
0.16667,4,3.2,-10552.604296,0.02501,1.0,0.990529,3857.790134,0.02,26.0,-659.5377685,0.001563125,SP
0.16667,4,3.5,-10552.958063,0.023265,1.6,0.990537,20340.599748,0.02,267.0,-659.5598789375,0.0014540625,SP
0.16667,4,4.0,-10552.650188,0.031629,2.4,0.990525,20014.767599,0.02,51.0,-659.54063675,0.0019768125,SP
0.16667,4,4.5,-10552.494504,0.034266,2.6,0.990526,6580.451323,0.02,38.0,-659.5309065,0.002141625,SP
0.16667,4,5.5,-10552.266203,0.02912,1.7,0.990525,6558.418915,0.02,39.0,-659.5166376875,0.00182,SP
0.16667,4,6.5,-10552.185326,0.026444,2.0,0.990526,18696.451841,0.02,49.0,-659.511582875,0.00165275,SP
0.16667,5,3.0,-16485.960985,0.064299,3.4,0.990463,6404.107238,0.02,24.0,-659.4384394000001,0.00257196,SP
0.16667,5,3.2,-16487.081955,0.026866,1.0,0.99047,6368.407274,0.02,24.0,-659.4832782000001,0.00107464,SP
0.16667,5,3.5,-16487.552114,0.045848,2.0,0.990466,20307.844803,0.02,202.0,-659.50208456,0.00183392,SP
0.16667,5,4.0,-16487.052941,0.037823,1.1,0.990465,6332.83562,0.02,24.0,-659.4821176400001,0.00151292,SP
0.16667,5,4.5,-16486.589554,0.034196,1.2,0.990462,6288.00868,0.02,25.0,-659.46358216,0.00136784,SP
0.16667,5,5.5,-16486.213039,0.031482,1.0,0.990465,6280.230184,0.02,25.0,-659.4485215599999,0.00125928,SP
0.16667,5,6.5,-16486.191929,0.032212,1.5,0.990458,6224.817017,0.02,25.0,-659.44767716,0.0012884799999999,SP
0.33333,3,3.0,-5936.902412,0.013334,1.0,0.990626,6211.446061,0.02,15.0,-659.6558235555556,0.0014815555555555,BA
0.33333,3,3.2,-5937.276855,0.01612,1.7,0.990656,19796.839955,0.02,384.0,-659.6974283333334,0.0017911111111111,BA
0.33333,3,3.5,-5937.382145,0.011157,1.0,0.990627,6143.377641,0.02,15.0,-659.7091272222222,0.0012396666666666,BA
0.33333,3,4.0,-5937.303583,0.018502,1.1,0.990635,6128.154328,0.02,17.0,-659.7003981111111,0.0020557777777777,BA
0.33333,3,4.5,-5937.250117,0.012447,1.0,0.990653,6170.320511,0.02,15.0,-659.6944574444444,0.001383,BA
0.33333,3,5.5,-5937.170869,0.013402,1.5,0.990636,6068.439273,0.02,15.0,-659.685652111111,0.0014891111111111,BA
0.33333,3,6.5,-5937.175722,0.013077,1.0,0.990653,6066.89692,0.02,15.0,-659.6861913333333,0.001453,BA
0.33333,4,3.0,-10552.399873,0.030353,3.2,0.99053,20160.425327,0.02,49.0,-659.5249920625,0.0018970625,BA
0.33333,4,3.2,-10553.020474,0.022732,1.4,0.99053,20376.182364,0.02,256.0,-659.563779625,0.00142075,BA
0.33333,4,3.5,-10552.937924,0.037126,2.4,0.990527,19246.850582,0.02,48.0,-659.55862025,0.002320375,BA
0.33333,4,4.0,-10552.755461,0.029277,1.7,0.990521,6646.05854,0.02,39.0,-659.5472163125,0.0018298125,BA
0.33333,4,4.5,-10552.421774,0.015167,1.4,0.990528,20142.190266,0.02,51.0,-659.526360875,0.0009479375,BA
0.33333,4,5.5,-10552.266959,0.026422,1.4,0.990535,13669.494218,0.02,172.0,-659.5166849375,0.001651375,BA
0.33333,4,6.5,-10552.24344,0.020034,1.0,0.990521,6520.271902,0.02,39.0,-659.515215,0.001252125,BA
0.33333,5,3.0,-16486.870785,0.045923,1.5,0.990445,13386.443406,0.02,136.0,-659.4748314,0.00183692,BA
0.33333,5,3.2,-16487.522362,0.035532,1.4,0.990473,19857.568745,0.02,200.0,-659.5008944799999,0.00142128,BA
0.33333,5,3.5,-16487.638593,0.03136,1.0,0.990463,6066.888098,0.02,24.0,-659.50554372,0.0012544,BA
0.33333,5,4.0,-16487.025268,0.082155,2.5,0.990464,18929.893112,0.02,34.0,-659.4810107200001,0.0032862,BA
0.33333,5,4.5,-16486.622385,0.041294,1.2,0.990461,13048.961284,0.02,137.0,-659.4648953999999,0.00165176,BA
0.33333,5,5.5,-16486.208773,0.053958,2.0,0.990459,19312.244271,0.02,35.0,-659.4483509199999,0.00215832,BA
0.33333,5,6.5,-16486.185774,0.038866,1.2,0.990456,13143.533509,0.02,132.0,-659.44743096,0.00155464,BA
